GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
io.hgc:jarspec,io.hgc.jarspec.mixins,AsynchronousBehaviour,2,43,0,2,1,10,1,2,1,1
io.hgc:jarspec,io.hgc.jarspec.mixins,ExceptionBehaviour,0,18,0,0,0,2,0,1,0,1
io.hgc:jarspec,io.hgc.jarspec,Util,3,11,0,2,1,3,1,2,1,1
io.hgc:jarspec,io.hgc.jarspec,Test,0,5,0,0,0,1,0,1,0,1
io.hgc:jarspec,io.hgc.jarspec,SpecificationNode.Leaf,15,32,0,0,3,8,1,5,1,5
io.hgc:jarspec,io.hgc.jarspec,JarSpecJUnitRunner,0,45,0,0,0,13,0,3,0,3
io.hgc:jarspec,io.hgc.jarspec,SpecificationNode.Internal,0,46,0,0,0,11,0,6,0,6
io.hgc:jarspec,io.hgc.jarspec,ExecutableNode,0,173,1,13,0,38,1,13,0,7
io.hgc:jarspec,io.hgc.jarspec,SpecificationNode,0,51,0,0,0,11,0,8,0,8
io.hgc:jarspec,io.hgc.jarspec,Test.new Statement() {...},0,10,0,0,0,3,0,2,0,2
io.hgc:jarspec,io.hgc.jarspec,Specification,0,36,0,0,0,10,0,6,0,6
